age,risky_crossing,run_red_light
20,0.0,0.0
27,1.0,0.0
28,0.0,0.0
31,0.0,0.0
32,0.5,0.0
33,0.0,0.0
34,0.0,0.5
35,0.5,0.0
37,0.6666666666666666,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.2,0.2
44,0.0,0.0
45,1.0,0.0
47,1.0,0.0
48,1.0,0.0
50,1.0,0.0
52,0.0,0.0
53,0.0,0.5
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.5,0.0
59,0.5,0.0
60,0.0,0.0
61,0.0,0.0
63,0.0,0.0
65,0.3333333333333333,0.0
67,0.0,0.3333333333333333
68,0.0,0.0
71,1.0,1.0
73,0.0,0.3333333333333333
74,0.75,0.0
75,0.0,0.0
77,0.5,0.0
79,0.0,0.0
80,0.0,0.0
